,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,false_positive_rate,threshold
419,2642.0,1901.0,671.0,0.0,0.7974645495414734,1.0,0.8873215913772583,0.26088646054267883,0.8388388388388388
420,2642.0,1898.0,674.0,0.0,0.7967430353164673,1.0,0.886874794960022,0.26205286383628845,0.8408408408408409
421,2642.0,1892.0,680.0,0.0,0.7953040599822998,1.0,0.8859825730323792,0.2643857002258301,0.8428428428428428
422,2642.0,1885.0,687.0,0.0,0.7936317324638367,1.0,0.8849439024925232,0.2671073079109192,0.8448448448448448
423,2642.0,1879.0,693.0,0.0,0.7922039031982422,1.0,0.8840555548667908,0.2694401144981384,0.8468468468468469
424,2642.0,1876.0,696.0,0.0,0.7914919257164001,1.0,0.8836120367050171,0.27060651779174805,0.8488488488488488
425,2642.0,1875.0,697.0,0.0,0.7912548780441284,1.0,0.8834642767906189,0.2709953486919403,0.8508508508508509
426,2642.0,1867.0,705.0,0.0,0.7893636226654053,1.0,0.8822841644287109,0.2741057574748993,0.8528528528528528
427,2642.0,1859.0,713.0,0.0,0.7874813675880432,1.0,0.8811072111129761,0.2772161662578583,0.8548548548548548
428,2642.0,1854.0,718.0,0.0,0.786309540271759,1.0,0.8803731799125671,0.27916017174720764,0.8568568568568569
429,2642.0,1849.0,723.0,0.0,0.7851411700248718,1.0,0.8796404004096985,0.2811042070388794,0.8588588588588588
430,2642.0,1845.0,727.0,0.0,0.7842089533805847,1.0,0.8790550827980042,0.2826594114303589,0.8608608608608609
431,2642.0,1841.0,731.0,0.0,0.7832790017127991,1.0,0.8784704804420471,0.2842146158218384,0.8628628628628628
432,2642.0,1835.0,737.0,0.0,0.7818881273269653,1.0,0.877595067024231,0.2865474224090576,0.8648648648648649
433,2642.0,1829.0,743.0,0.0,0.780502200126648,1.0,0.8767214417457581,0.28888025879859924,0.8668668668668669
434,2642.0,1826.0,746.0,0.0,0.7798110842704773,1.0,0.8762852549552917,0.29004666209220886,0.8688688688688688
435,2642.0,1821.0,751.0,0.0,0.7786619663238525,1.0,0.8755592107772827,0.2919906675815582,0.8708708708708709
436,2642.0,1817.0,755.0,0.0,0.7777450680732727,1.0,0.8749793171882629,0.2935458719730377,0.8728728728728729
437,2642.0,1806.0,766.0,0.0,0.7752347588539124,1.0,0.873388409614563,0.2978227138519287,0.8748748748748749
438,2642.0,1804.0,768.0,0.0,0.7747800350189209,1.0,0.8730998039245605,0.29860031604766846,0.8768768768768769
